waoe,Access Center (Self-Help Center at the SF Superior Court),"The Access Center assists the public with understanding the process and completing the paperwork for many civil issues: divorce, custody, guardianship, parentage, spousal support, small claims, restraining orders, name and gender changes, evictions (and particularly motions to vacate), and conservatorship. They cannot represent clients and they cannot help anyone who already has an attorney. 

While the wait can be daunting, once your client gets through, the Center is well-equipped to help clients who are not able to otherwise access legal representation. They have a mix of attorneys, paralegals, and other staff and volunteers who triage clients and help them on the spot or during follow-up appointments or workshops."
uizq,Aids Legal Referral Panel (ALRP),"The ALRP works with clients who have HIV/AIDS. ALRP is able to serve some clients with its own in-house lawyers, and for issues it cannot help with, it will help clients find a private attorney from its panels of attorneys. If your client is eligible for their services, it is a good place to try. If your client tries here and is unable to find help that she can afford, submit an inquiry to Project Legal Link as there may be another referral available."
uqhn,Alameda Public Defender,"For active criminal cases or warrants, your client was likely assigned a public defender or can get help from the public defender's office in the county in which it occurred. While the PDs can sometimes be hard to reach, they are the best suited to assist the client unless the client wants to pay for private counsel."
jzok,Asian Americans Advancing Justice – Asian Law Caucus (ALC),"ALC provides brief advice and counsel to anyone at their clinics (immigration, worker’s rights, housing) and representation for some. In some areas, their work is more focused on Asian language speakers or the API community."
avut,Asian Pacific Islander Legal Outreach (APILO),"APILO provides an array of services and is more likely to help clients with multiple issues (such as family law, immigration, and benefits). APILO's services are not limited to the API community, although they are a good referral for the API community and Asian language speakers.
"
onax,"Bar Association of San Francisco, Legal Referral and Information Service (BASF)","This is a legal intake line that connects callers to private lawyers AND screens clients for help through the Bar Association’s Justice and Diversity Center (pro bono services). 

Private attorney referrals are usually most applicable for low-income populations when there is no non-profit help available, or for cases where there might be funds recovered to pay an attorney (personal injury, a lawsuit against someone to recover funds for some kind of damage, SSI/SSDI, insurance cases, etc.). "
aypz,Bay Area Legal Aid (BayLegal),"Bay Area Legal Aid provides a number of legal services to low-income residents across the region, mostly in the areas of public benefits, domestic violence, public housing, consumer law, health care, and foster care. In general, BayLegal cannot serve undocumented clients unless he/she is a survivor of domestic violence or sexual assault. 

BayLegal’s intake process is managed by its centralized Legal Advice Line, although certain programs have dedicated phone numbers."
wzlj,"Bay Area Legal Aid, Health Consumer Center","Bay Area Legal Aid provides a number of legal services to low-income residents across the region, mostly in the areas of public benefits, domestic violence, public housing, consumer law, health care, and foster care. In general, BayLegal cannot serve undocumented clients unless he/she is a survivor of domestic violence or sexual assault. 

BayLegal’s intake process is managed by its centralized Legal Advice Line, although certain programs, like the Health Consumer Center, have dedicated phone numbers. This line provides information and assistance on health access issues, including the ACA, access to medical services, Covered California, Denti-Cal, Medi-Cal, Medicare, medical debt, and private health insurance issues.
"
pstv,"Bay Area Legal Aid, Legal Barriers to Employment Project","Bay Area Legal Aid provides a number of legal services to low-income residents across the region, mostly in the areas of public benefits, domestic violence, public housing, consumer law, health care, and foster care. In general, BayLegal cannot serve undocumented clients unless he/she is a survivor of domestic violence or sexual assault. 

BayLegal’s intake process is managed by its centralized Legal Advice Line, although certain programs, like LBEP, have dedicated phone numbers. This program works with CalWORKS and PAES recipients on a variety of legal issues. Most commonly, these include tickets, suspended professional and driver’s licenses, criminal records, child support obligations, unemployment insurance, and immigration.
"
xbvz,"Bay Area Legal Aid, SF Public Housing Line","Bay Area Legal Aid provides a number of legal services to low-income residents across the region, mostly in the areas of public benefits, domestic violence, public housing, consumer law, health care, and foster care. In general, BayLegal cannot serve undocumented clients unless he/she is a survivor of domestic violence or sexual assault. 

BayLegal’s intake process is managed by its centralized Legal Advice Line, although certain programs, like the SF Public Housing Line, have dedicated phone numbers. This line, co-sponsored with the Housing Rights Committee, can provide information specific to San Francisco public housing issues."
yqsz,Bayview Hunters Point Community Legal (BHPCL),"BHPCL is unique in that it helps clients with all varieties of legal issues. If your client lives in 94124, 94134, or 94107, this is a great resource."
nkcg,California Advocates for Nursing Home Reform (CANHR),"CANHR can help clients figure out if they need legal help in the following areas, and then refer them to a private attorney for help: estate planning/Medi-cal for long term care, special needs trusts, elder and dependent abuse, elder financial abuse, care home violations, and conservatorship. They run their own referral lists and sometimes have pro bono support available for very low-income clients."
sezo,Canal Alliance,"Canal Alliance is a non-profit that provides immigration consults on asylum, SIJS, naturalization, DACA, TPS, U-Visa, T-Visa, green card renewal, and VAWA. Call or drop-in for intake."
ocbp,Catholic Charities of the East Bay,"Provides critical family needs, as well as immigration legal services."
jnqc,Catholic Charities of Santa Clara County,"Provides critical family needs, as well as immigration legal services."
dxau,Causa Justa,Causa Justa provides non-legal housing counseling on a variety of housing-related issues. Their services are focused on the Spanish speaking community.
zrcx,Central American Resource Center (Carecen),"Carecen provides a wide range of free or low cost immigration services. While their capacity to provide full representation can be limited, all clients who stop by during drop-in hours will be seen and, at a minimum, receive a consult and limited advice. Drop-in consults are $15.
Carecen typically provides more in-depth assistance on green card renewals, family petitions, DACA, consular processing, obtaining Temporary Protected Status, and relief for undocumented youth. Carecen typically refers U-Visas and T-Visas, cases involving a detained individual, and cases requiring post-conviction relief.
"
lnft,Centro Legal de la Raza,"Centro Legal de la Raza is located in Oakland and provides low-income residents with immigration, workers' rights, and tenants' rights assistance."
pwbf,Clear My Record,"If clients have a conviction(s) in SF, Alameda, Contra Costa, Fresno, San Diego, Santa Clara, Santa Cruz, or Solano Counties, they can submit their information through this easy online interface created by Code for America. Their application for record cleaning help will go directly to the Public Defender’s office in the relevant county and/or a non-profit legal organization working on record cleaning. This is an easy application that caseworkers can do with clients to get the process started right away."
ekyb,Community Legal Services in East Palo Alto,"CSLEPA provides services to low-income residents of East Palo Alto and the surrounding community (San Mateo County), in the areas of immigration, housing, worker’s rights, consumer, re-entry and small business."
xjri,Conflict Intervention Service at BASF (CIS),"CIS is a project of the Bar Association of San Francsico. It helps low-income SF tenants who are living in supportive housing or are supported by other city services find resolutions with their landlords (often non-profits) before an eviction occurs. CIS can help the parties with issues such as late rent, neighbor conflicts, hoarding issues, and others."
qzxg,Consumer Credit Counseling Service of San Francisco (CCCSSF)/Balance,"CCCSSF/Balance helps with credit and financial counseling in numerous areas including budgeting, debt management, reviewing and understanding credit reports, identity theft, bankruptcy, home ownership, and foreclosure prevention. Services are provided by phone or, if appropriate, in person.
CCCSSF (now Balance) is a free service based in San Francisco, but available to people nationwide."
imce,Contra Costa Public Defender,"For active criminal cases or warrants, your client was likely assigned a public defender or can get help from the public defender's office in the county in which it occurred. While the PDs can sometimes be hard to reach, they are the best suited to assist the client unless the client wants to pay for private counsel."
rzag,Cooperative Restraining Order Clinic (CROC),CROC is the primary referral for clients in need of domestic violence restraining orders in SF. They have frequent clinics and assist clients with their paperwork and representation in court. CROC encourages clients with questions about restraining orders (even those who are unsure if they need or want a restraining order) to call and meet with the staff to discuss options.
bpri,Dolores Street,"Dolores Street’s legal services focus on deportation defense. Dolores Street provides free deportation defense to SF residents, but given the demand, they can only accept a portion of the deportation cases that come to them."
myxi,East Bay Community Law Center,"East Bay Community Law Center provides legal services to low-income residents of the East Bay, with some services limited to Alameda County residents. EBCLC’s services include record cleaning, public benefits, housing, immigration, consumer, tickets and driver’s license issues, business development, delinquency, school discipline, and special education."
uhvg,East Bay Naturalization Collective,Free and low-cost naturalization and other immigration legal services to low-income residents of the east bay.
fbgl,East Bay Sanctuary Covenant,"East Bay Sanctuary Covenant provides immigration services to low-income Bay Area residents, especially in the areas of asylum, DACA, family-based petitions, naturalization, TPS, adjustment of status, SIJS, and TPS."
czht,"ECHO Housing
","Provides counseling and investigation of discriminatory housing practices. Also provides counseling on evictions, repairs, and rent increases."
tqyd,Eviction Defense Center (Alameda County),"If a client has been served with an ""Unlawful Detainer"" this organization can help write a response, and later amend that response, if needed. It is a first stop for new evictions in Alameda County."
hyop,Eviction Defense Collaborative (EDC),The EDC is the primary referral for people who have received a summons and/or complaint for unlawful detainer (eviction lawsuit) in SF. Anyone in this situation should be directed to the EDC’s drop-in clinic immediately. Tenants only have 5 calendar days to respond to these documents – failure to do so could result in them losing the case without having an opportunity to contest or respond.
ryuz,Family and Children's Law Center,"The Family and Children’s Law Center provides sliding scale family law services to low-income Marin residents. Services provided include: domestic violence restraining orders, divorce, paternity, child custody and visitation, child support, adoption, and guardianship."
hska,Family Law Facilitator (Alameda County),Helps people who do not have lawyers with family law matters.
iuxz,Family Law Facilitator (Contra Costa County),Court-based help with completing paperwork and understanding the process for people who do not have lawyers in family law cases.
dgrt,Family Law Facilitator (Marin County),Court-based help with completing paperwork and understanding the process for people who do not have lawyers in family law cases.
arwx,Family Law Facilitator (San Mateo County),Court-based help with completing paperwork and understanding the process for people who do not have lawyers in family law cases.
uojp,Family Law Facilitator (Santa Clara County),Court-based help with completing paperwork and understanding the process for people who do not have lawyers in family law cases.
qayf,GetCalFresh.org,"This easy online interface helps clients apply for CalFresh benefits easily. This service was created by Code for America in partnership with many government agencies.
"
rvjb,Homeless Advocacy Project of JDC (HAP),"HAP primarily assists with SSI, SSDI, and housing issues for clients who are homeless or at imminent risk of homelessness, with a focus on people with mental disabilities."
yxpb,Housing & Economic Rights Advocates (HERA),"HERA assists with consumer issues, and is a good resource especially for clients without legal status, or with too high of an income for other legal non-profits. Although they are physically located in Oakland, they can help on issues across the Bay Area."
dvca,Housing Rights Committee (HRC),Housing Rights Committee provides non-legal housing counseling on a variety of housing-related issues.
xlpe,Human Services Agency of San Francisco: General Assistance,You can apply for GA by visiting the CAAP Office on 1235 Mission Street.
uqnj,"International Institute of the Bay Area, Redwood City
","Provides a wide range of immigration services. Legal consultations are $30, and workshops and citizenship classes are also available."
ulbf,"Immigration Center for Women and Children, U-VISA and VAWA services (ICWC)","ICWC provides immigration services, with a focus on U-Visas and VAWA.  ICWC is a good first call for clients to make because the initial consultation is free, and should happen within a couple weeks. This consult should give your client a pretty good idea about whether she is eligible to apply and she can then determine if, or how, to pay the non-profit rate charged by ICWC (or try to find free services elsewhere)."
dwcn,Independent Living Resource Center,"ILRC provides informational Benefits Eligibility Workshops that cover SSI benefits and applications. Given that very few legal providers help with SSI applications (they usually help at the appeal stage), this can be a helpful resource.

ILRC also provides limited legal services for disabled San Franciscans, including administrative hearings (SSDI, SSI, CAPI), simple wills, advanced healthcare directives and other planning tools, consumer debt/medical issues, obtaining reasonable accommodations in employment, obtaining reasonable accommodations in housing, and filing ADA access complaints."
fmjz,International Institute of the Bay Area,"IIBA provides a broad range of immigration services and has offices in most Bay Area counties. Although it is a non-profit, it charges reduced costs on a sliding scale. The San Francisco office typically has capacity for new cases, while some of the other offices may have waitlists for certain services."
lewp,Jubilee Immigration Advocates,"Jubilee provides many immigration services: U-Visa, VAWA, Asylum, SIJS, deportation defense, family based immigration, citizenship and DACA. Jubilee also has expertise in non-citizens' eligibility for public benefits."
gkde,Justice & Diversity Center of the Bar Association of San Francisco (JDC),"This is a legal intake line that connects callers to private lawyers AND screens clients for help through the Justice and Diversity Center (pro bono services). 

The JDC primarily provides pro bono assistance in the following areas: family law, consumer law, taxpayer disputes with the IRS, eviction defense, simple wills, and tort defense.
"
yeoa,La Raza Centro Legal (LRCL),"La Raza Centro Legal provides services to low-income SF residents, with a focus on Spanish-speakers, in the areas of immigration, worker's rights, housing, and senior law."
eihr,"Lawyers’ Committee for Civil Rights, Asylum Program (LCCR)",LCCR's asylum program provides free asylum legal assistance to qualifying low-income people. The organization screens callers with potential asylum claims and places meritorious cases with pro bono attorneys supervised by LCCR immigration attorneys.
aytv,"Lawyers’ Committee for Civil Rights, Second Chance Legal Clinic (LCCR)","This clinic provides advice to about the effect of a prior conviction on employment, housing, and licensing prospects, as well as assistance with tickets and suspended driver's licenses. Given the easy online application for record cleaning services in most counties (see resource HERE), this clinic is particularly helpful for clients with complicated records, out-of-county issues, or for clients with background check issues or who are applying for occupational licensing."
djsz,Legal Aid at Work (Formerly Employment Law Center) – Work and Family Program,"Legal Aid at Work’s Work and Family Program can assist clients with pregnancy and family leave questions, pregnancy discrimination, and workplace accommodations. They also provide many resources on their website."
ugci,Legal Aid at Work (Formerly Employment Law Center) – Workers’ Rights Clinic,This clinic provides advice to low-income clients around the Bay Area on almost any workers’ rights issue. Clients can sign up for an in-person clinic or a phone-in clinic.
